"DateTime","Ensemble ET","Precip (gridMET)",
"2024-01-01 00:00:00",1.272,0,
"2024-01-02 00:00:00",1.022,19.6,
"2024-01-03 00:00:00",0.642,0,
"2024-01-04 00:00:00",0.558,7.7,
"2024-01-05 00:00:00",0.345,1.7,
"2024-01-06 00:00:00",0.866,0,
"2024-01-07 00:00:00",0.913,2.3,
"2024-01-08 00:00:00",0.655,7.5,
"2024-01-09 00:00:00",1.008,0,
"2024-01-10 00:00:00",1.496,0,
"2024-01-11 00:00:00",1.149,3.5,
"2024-01-12 00:00:00",0.444,0,
"2024-01-13 00:00:00",1.336,0,
"2024-01-14 00:00:00",0.313,0.5,
"2024-01-15 00:00:00",0.224,0,
"2024-01-16 00:00:00",0.631,0,
"2024-01-17 00:00:00",0.86,0,
"2024-01-18 00:00:00",1.453,0,
"2024-01-19 00:00:00",0.729,0,
"2024-01-20 00:00:00",0.804,0,
"2024-01-21 00:00:00",0.83,11,
"2024-01-22 00:00:00",0.77,53.2,
"2024-01-23 00:00:00",0.627,36.3,
"2024-01-24 00:00:00",0.245,8.6,
"2024-01-25 00:00:00",0.439,0,
"2024-01-26 00:00:00",0.429,2.4,
"2024-01-27 00:00:00",0.266,0,
"2024-01-28 00:00:00",0.742,0,
"2024-01-29 00:00:00",0.941,0,
"2024-01-30 00:00:00",1.022,0,
"2024-01-31 00:00:00",0.995,0,
"2024-02-01 00:00:00",1.035,0,
"2024-02-02 00:00:00",0.844,18.9,
"2024-02-03 00:00:00",0.599,0,
"2024-02-04 00:00:00",0.703,1.2,
"2024-02-05 00:00:00",0.829,0,
"2024-02-06 00:00:00",0.774,0,
"2024-02-07 00:00:00",0.999,0,
"2024-02-08 00:00:00",0.75,0,
"2024-02-09 00:00:00",0.672,0.4,
"2024-02-10 00:00:00",0.274,34.1,
"2024-02-11 00:00:00",0.288,5.4,
"2024-02-12 00:00:00",0.576,0,
"2024-02-13 00:00:00",0.53,0,
"2024-02-14 00:00:00",0.634,0,
"2024-02-15 00:00:00",0.565,0,
"2024-02-16 00:00:00",0.481,0,
"2024-02-17 00:00:00",0.385,0,
"2024-02-18 00:00:00",0.399,0,
"2024-02-19 00:00:00",0.526,0,
"2024-02-20 00:00:00",0.635,0,
"2024-02-21 00:00:00",0.831,0,
"2024-02-22 00:00:00",0.872,0,
"2024-02-23 00:00:00",0.734,0,
"2024-02-24 00:00:00",0.749,0,
"2024-02-25 00:00:00",1.016,0,
"2024-02-26 00:00:00",1.119,0,
"2024-02-27 00:00:00",0.698,0,
"2024-02-28 00:00:00",0.505,0,
"2024-02-29 00:00:00",0.547,0.3,
"2024-03-01 00:00:00",0.637,0,
"2024-03-02 00:00:00",1.035,0,
"2024-03-03 00:00:00",1.094,0,
"2024-03-04 00:00:00",1.104,9.9,
"2024-03-05 00:00:00",0.88,3.5,
"2024-03-06 00:00:00",0.986,0,
"2024-03-07 00:00:00",0.878,3.1,
"2024-03-08 00:00:00",0.593,4.5,
"2024-03-09 00:00:00",0.812,0,
"2024-03-10 00:00:00",0.893,0,
"2024-03-11 00:00:00",1.161,0,
"2024-03-12 00:00:00",1.222,0,
"2024-03-13 00:00:00",1.478,0,
"2024-03-14 00:00:00",1.514,1.3,
"2024-03-15 00:00:00",0.775,0.6,
"2024-03-16 00:00:00",0.793,28.3,
"2024-03-17 00:00:00",0.917,1.1,
"2024-03-18 00:00:00",1.225,0,
"2024-03-19 00:00:00",1.215,0,
"2024-03-20 00:00:00",1.241,0,
"2024-03-21 00:00:00",0.691,40.4,
"2024-03-22 00:00:00",0.94,0.4,
"2024-03-23 00:00:00",1.318,0,
"2024-03-24 00:00:00",1.406,4.2,
"2024-03-25 00:00:00",1.131,26.9,
"2024-03-26 00:00:00",1.38,0,
"2024-03-27 00:00:00",1.347,0,
"2024-03-28 00:00:00",1.641,0,
"2024-03-29 00:00:00",2.186,0,
"2024-03-30 00:00:00",1.742,0,
"2024-03-31 00:00:00",1.626,0,
