"DateTime","Ensemble ET","Precip (gridMET)",
"2024-01-01 00:00:00",2.115,0,
"2024-01-02 00:00:00",1.698,19.228,
"2024-01-03 00:00:00",1.043,0,
"2024-01-04 00:00:00",0.904,7.576,
"2024-01-05 00:00:00",0.55,1.638,
"2024-01-06 00:00:00",1.412,0,
"2024-01-07 00:00:00",1.488,2.641,
"2024-01-08 00:00:00",1.083,7.779,
"2024-01-09 00:00:00",1.665,0,
"2024-01-10 00:00:00",2.447,0,
"2024-01-11 00:00:00",1.872,3.376,
"2024-01-12 00:00:00",0.709,0,
"2024-01-13 00:00:00",2.201,0,
"2024-01-14 00:00:00",0.492,0.469,
"2024-01-15 00:00:00",0.369,0,
"2024-01-16 00:00:00",1.037,0,
"2024-01-17 00:00:00",1.412,0,
"2024-01-18 00:00:00",2.362,0,
"2024-01-19 00:00:00",1.173,0,
"2024-01-20 00:00:00",1.313,0,
"2024-01-21 00:00:00",1.4,11.155,
"2024-01-22 00:00:00",1.316,52.457,
"2024-01-23 00:00:00",1.066,34.845,
"2024-01-24 00:00:00",0.432,8.105,
"2024-01-25 00:00:00",0.786,0,
"2024-01-26 00:00:00",0.758,2.059,
"2024-01-27 00:00:00",0.471,0,
"2024-01-28 00:00:00",1.396,0,
"2024-01-29 00:00:00",1.8,0,
"2024-01-30 00:00:00",1.97,0,
"2024-01-31 00:00:00",1.955,0,
"2024-02-01 00:00:00",2.076,0,
"2024-02-02 00:00:00",1.745,19.674,
"2024-02-03 00:00:00",1.264,0,
"2024-02-04 00:00:00",1.538,1.2,
"2024-02-05 00:00:00",1.812,0,
"2024-02-06 00:00:00",1.752,0,
"2024-02-07 00:00:00",2.336,0,
"2024-02-08 00:00:00",1.805,0,
"2024-02-09 00:00:00",1.644,0.369,
"2024-02-10 00:00:00",0.689,33.728,
"2024-02-11 00:00:00",0.745,5.152,
"2024-02-12 00:00:00",1.52,0,
"2024-02-13 00:00:00",1.464,0,
"2024-02-14 00:00:00",1.813,0,
"2024-02-15 00:00:00",1.677,0,
"2024-02-16 00:00:00",1.483,0,
"2024-02-17 00:00:00",1.234,0,
"2024-02-18 00:00:00",1.339,0,
"2024-02-19 00:00:00",1.845,0,
"2024-02-20 00:00:00",2.342,0,
"2024-02-21 00:00:00",2.965,0,
"2024-02-22 00:00:00",3.018,0,
"2024-02-23 00:00:00",2.468,0,
"2024-02-24 00:00:00",2.43,0,
"2024-02-25 00:00:00",3.237,0,
"2024-02-26 00:00:00",3.48,0,
"2024-02-27 00:00:00",2.082,0,
"2024-02-28 00:00:00",1.482,0,
"2024-02-29 00:00:00",1.593,0.207,
"2024-03-01 00:00:00",1.82,0,
"2024-03-02 00:00:00",2.903,0,
"2024-03-03 00:00:00",2.993,0,
"2024-03-04 00:00:00",2.99,10.272,
"2024-03-05 00:00:00",2.344,2.788,
"2024-03-06 00:00:00",2.566,0,
"2024-03-07 00:00:00",2.248,3.317,
"2024-03-08 00:00:00",1.488,4.686,
"2024-03-09 00:00:00",2.019,0,
"2024-03-10 00:00:00",2.217,0,
"2024-03-11 00:00:00",2.846,0,
"2024-03-12 00:00:00",2.936,0,
"2024-03-13 00:00:00",3.536,0,
"2024-03-14 00:00:00",3.534,1.207,
"2024-03-15 00:00:00",1.789,0.848,
"2024-03-16 00:00:00",1.837,26.318,
"2024-03-17 00:00:00",2.102,0.883,
"2024-03-18 00:00:00",2.757,0,
"2024-03-19 00:00:00",2.733,0,
"2024-03-20 00:00:00",2.792,0,
"2024-03-21 00:00:00",1.526,40.4,
"2024-03-22 00:00:00",2.033,0.4,
"2024-03-23 00:00:00",2.891,0,
"2024-03-24 00:00:00",3.033,4.293,
"2024-03-25 00:00:00",2.423,27.674,
"2024-03-26 00:00:00",2.938,0,
"2024-03-27 00:00:00",2.847,0,
"2024-03-28 00:00:00",3.446,0,
"2024-03-29 00:00:00",4.558,0,
"2024-03-30 00:00:00",3.607,0,
"2024-03-31 00:00:00",3.371,0,
"2024-04-01 00:00:00",3.29,0.9,
"2024-04-02 00:00:00",2.401,0,
"2024-04-03 00:00:00",3.912,0,
"2024-04-04 00:00:00",3.59,0,
"2024-04-05 00:00:00",4.892,0,
"2024-04-06 00:00:00",4.97,0,
"2024-04-07 00:00:00",4.17,0,
"2024-04-08 00:00:00",3.909,104.925,
"2024-04-09 00:00:00",1.299,78.558,
"2024-04-10 00:00:00",1.101,23.486,
"2024-04-11 00:00:00",3.975,0,
"2024-04-12 00:00:00",4.222,0,
"2024-04-13 00:00:00",4.832,0,
"2024-04-14 00:00:00",4.041,0,
"2024-04-15 00:00:00",3.699,0,
"2024-04-16 00:00:00",3.247,0.938,
